Date,Time,Server1_meter1_avg,Server1_meter1_min,Server1_meter1_max,Server1_meter2_avg,Server1_meter2_min,Server1_meter2_max,Server1_meter3_avg,Server1_meter3_min,Server1_meter3_max,Server1_meter4_avg,Server1_meter4_min,Server1_meter4_max,Server1_meter5_avg,Server1_meter5_min,Server1_meter5_max,Server1_meter6_avg,Server1_meter6_min,Server1_meter6_max,Server1_meter7_avg,Server1_meter7_min,Server1_meter7_max,Server1_meter8_avg,Server1_meter8_min,Server1_meter8_max,Server1_meter9_avg,Server1_meter9_min,Server1_meter9_max,Server1_meter10_avg,Server1_meter10_min,Server1_meter10_max,Server1_meter11_avg,Server1_meter11_min,Server1_meter11_max,Server1_meter12_avg,Server1_meter12_min,Server1_meter12_max,Server1_meter13_avg,Server1_meter13_min,Server1_meter13_max,Server2_meter1_avg,Server2_meter1_min,Server2_meter1_max,Server2_meter2_avg,Server2_meter2_min,Server2_meter2_max,Server2_meter3_avg,Server2_meter3_min,Server2_meter3_max,Server2_meter4_avg,Server2_meter4_min,Server2_meter4_max,Server2_meter5_avg,Server2_meter5_min,Server2_meter5_max,Server2_meter6_avg,Server2_meter6_min,Server2_meter6_max,Server3_meter1_avg,Server3_meter1_min,Server3_meter1_max,Server3_meter2_avg,Server3_meter2_min,Server3_meter2_max,Server3_meter3_avg,Server3_meter3_min,Server3_meter3_max,Server3_meter4_avg,Server3_meter4_min,Server3_meter4_max,Server3_meter5_avg,Server3_meter5_min,Server3_meter5_max,Server3_meter6_avg,Server3_meter6_min,Server3_meter6_max,1st_Floor,2nd_Floor,3rd_Floor,4th_Floor,Utilities,TOTAL,1st_Floor_Kwh,2nd_Floor_Kwh,3rd_Floor_Kwh,4th_Floor_Kwh,Utilities_Kwh,TOTAL_Kwh
05/16/2023,00:50,261.639,260.508,263.538,32.652,31.719,33.526,122.387,121.724,122.671,456.816,455.021,459.102,930.645,769.029,1003.635,174.719,174.064,175.649,1224.617,1177.326,1297.395,1046.055,721.796,1243.603,1284.851,1263.055,1365.823,506.115,550.633,471.183,737.653,414.992,1036.664,4235.583,3213.217,5932.247,1660.413,1540.53,1990.999,16514.922,16349.984,17553.877,3782.845,3780.767,3786.047,5566.208,119.93,31340.562,15331.595,13760.165,16597.621,3854.746,3379.361,4521.954,5127.897,4514.291,5920.65,2241.898,2111.495,2658.686,2213.739,2060.245,2326.386,1763.259,1659.162,1873.391,2610.252,2523.665,2663.841,531.694,528.168,536.865,152.546,151.694,153.138,2503.5370000000003,3772.886,5576.536,4644.446,18861.275,35358.67999999999,0.2086280833333333,0.3144071666666667,0.4647113333333333,0.3870371666666666,1.5717729166666663,2.946556666666666
05/16/2023,00:55,219.823,158.932,260.995,30.65,29.923,31.63,664.267,122.325,922.536,502.786,455.03,720.326,1005.249,988.298,1157.619,174.626,173.609,175.491,1383.297,1174.239,1624.476,722.072,716.592,736.653,1340.523,1327.642,1396.198,497.588,518.491,478.044,634.729,415.336,1055.17,6085.854,5352.881,7208.953,1567.564,1533.415,1872.707,17868.408,17517.258,18051.889,3653.242,3612.161,3782.012,2428.536,118.621,31554.781,15177.642,13140.566,16512.289,3724.714,3353.363,4449.157,4522.152,4511.546,4556.145,2214.532,2163.933,2369.497,2064.369,1944.401,2237.312,1841.861,1717.252,1908.908,2628.292,2527.15,2735.934,531.803,527.557,534.505,152.097,150.999,154.757,2434.355,4231.473,5854.897999999999,4306.1230000000005,17210.975000000002,34037.824,0.2028629166666666,0.3526227499999999,0.4879081666666666,0.3588435833333334,1.4342479166666668,2.836485333333333
05/16/2023,01:00,159.237,158.659,160.251,30.493,29.512,31.393,915.964,913.319,918.342,684.258,674.123,702.816,1041.601,856.159,1056.233,174.617,173.81,175.628,1226.78,1173.684,1295.307,721.744,716.764,734.015,1400.553,1325.435,1472.53,481.939,502.788,448.001,790.783,421.494,889.438,4903.773,2880.811,5698.85,1569.688,1439.099,2304.444,17540.508,17484.355,17575.182,3682.417,3613.96,3704.333,121.289,120.802,122.17,14817.219,12998.289,16293.355,3557.954,3379.664,4362.167,4693.582,4510.347,5789.338,2458.459,2266.231,2690.699,1935.439,1861.398,2027.307,1866.359,1826.506,1937.296,2578.038,2429.89,2723.44,532.084,528.26,536.392,138.842,108.899,152.141,2617.696,4374.943,5889.629000000001,4332.407999999999,13727.142000000002,30941.818,0.2181413333333333,0.3645785833333333,0.4908024166666667,0.3610339999999999,1.1439285,2.578484833333333
05/16/2023,01:05,159.219,158.782,159.696,30.716,29.639,31.841,914.811,912.655,917.596,570.056,450.369,678.9,841.691,835.337,849.486,174.8,174.331,175.327,1380.964,1182.728,1572.411,732.474,719.394,842.719,1500.705,1400.741,1815.646,488.752,500.721,480.992,1509.268,365.157,2756.494,4254.367,2966.637,5684.023,1585.79,1448.834,2025.83,17500.719,17479.117,17515.594,3703.308,3700.869,3704.878,121.839,121.615,122.033,14188.245,12568.021,15557.646,3761.777,3347.199,4468.911,5163.384,4525.592,6536.453,2488.11,2142.84,3037.661,1985.007,1834.364,2194.5,1917.726,1838.576,1995.817,2368.582,2337.935,2429.151,531.52,528.56,535.653,109.223,108.662,110.758,2647.329,4230.261,5820.307,4410.790000000001,13991.302,31099.989,0.22061075,0.35252175,0.4850255833333333,0.3675658333333333,1.1659418333333331,2.59166575
05/16/2023,01:10,159.037,158.6,159.496,30.607,29.612,31.509,913.834,910.881,917.141,449.652,447.717,453.076,843.4,818.537,856.151,174.774,174.411,175.289,1274.861,1204.989,1580.882,829.68,817.845,906.734,1408.291,1356.628,1507.832,470.793,560.412,446.501,2369.377,1887.22,2839.59,3787.531,2875.952,5631.672,1553.761,1418.487,1984.269,17362.533,17182.52,17591.311,3704.306,3702.941,3705.979,121.359,121.011,122.192,14215.198,12654.132,15340.959,3696.894,3320.254,4544.54,4526.243,4518.971,4538.914,2138.013,1918.93,2416.528,1928.347,1881.794,2006.923,1959.235,1895.575,2005.826,2380.792,2285.942,2790.356,531.331,525.652,535.407,109.102,108.662,110.084,2297.05,4156.374,5513.596,4517.45,14319.9,30804.37,0.1914208333333333,0.3463644999999999,0.4594663333333332,0.3764541666666666,1.193325,2.5670308333333334
05/16/2023,01:15,159.728,158.909,160.456,106.477,29.576,151.003,916.336,913.347,920.307,449.184,447.551,451.054,1591.855,716.32,4535.975,175.168,174.679,176.04,1397.776,1198.697,1590.881,821.612,815.916,833.448,1298.214,1257.794,1391.846,476.999,509.161,464.405,1151.433,877.172,1994.954,3520.383,3034.293,4462.404,1653.346,1576.409,1884.901,16593.271,15469.281,17240.127,3487.713,3117.419,3705.087,122.99,121.079,134.259,15354.253,13380.738,16493.035,3482.837,3305.883,4361.793,4526.77,4519.662,4570.899,2125.465,1966.05,2501.721,2025.213,1888.425,2306.098,1833.676,1681.536,2004.702,2403.12,2316.324,2557.147,532.312,528.151,535.801,109.122,108.616,109.929,2285.193,5010.402999999999,5548.294,4483.802,12406.79,29734.482,0.19043275,0.4175335833333332,0.4623578333333333,0.3736501666666666,1.0338991666666666,2.4778735
05/16/2023,01:20,159.198,158.381,159.833,129.932,128.099,131.867,912.835,909.08,918.06,627.619,445.163,779.247,1411.076,702.809,4487.16,322.526,173.801,427.075,1277.003,1178.071,1571.239,826.575,807.283,1072.903,1261.504,1198.696,1341.743,501.054,516.412,493.542,671.853,420.188,1063.008,3207.061,2874.547,4186.505,1640.154,1503.983,1968.221,16221.054,15536.451,16572.73,3357.007,3116.674,3706.449,1437.452,119.094,31489.566,15535.569,14164.785,17208.668,3535.633,3326.586,4422.361,4516.663,4507.328,4533.869,2150.022,1904.546,2498.324,2036.874,1950.29,2154.627,1709.307,1621.448,2159.677,2336.785,2256.159,2460.518,532.418,528.177,535.716,108.809,108.379,109.637,2309.22,4861.839,5502.911,4498.562,12850.232999999998,30022.765,0.1924349999999999,0.40515325,0.4585759166666667,0.3748801666666666,1.0708527499999998,2.5018970833333336
05/16/2023,01:25,173.605,158.586,282.508,67.964,32.102,134.326,185.892,122.352,913.884,612.607,444.221,659.012,705.668,702.328,708.027,385.677,382.307,391.777,1115.206,985.535,1369.286,1168.668,1013.72,1347.414,1263.943,1207.292,1699.442,504.685,526.774,494.403,580.346,414.487,902.232,3147.713,3123.045,3275.034,1688.327,1552.563,2247.058,16058.896,15997.18,16100.765,3702.89,3699.615,3705.488,120.763,120.507,121.447,15628.854,14223.229,17438.926,3583.018,3291.342,4368.222,4519.676,4507.201,4685.05,2048.844,1881.826,2385.919,2007.122,1922.489,2130.472,1667.948,1442.513,1726.629,2194.013,2101.998,2328.654,532.005,529.8,535.726,178.896,108.406,229.922,2222.449,3403.367,5185.769,4910.62,11845.631,27567.836000000003,0.1852040833333333,0.2836139166666666,0.4321474166666667,0.4092183333333333,0.9871359166666668,2.297319666666667
05/16/2023,01:30,266.403,261.969,278.896,33.333,32.341,34.209,122.613,122.325,122.916,444.992,441.915,447.047,585.664,410.949,705.186,380.981,378.133,384.653,995.931,974.166,1025.954,1016.463,1009.616,1029.205,1316.628,1251.791,1348.475,473.325,513.017,397.247,884.441,856.156,1042.081,3311.918,3181.986,3586.108,1518.401,1452.483,1896.191,16010.467,15990.211,16037.865,3700.032,3653.616,3703.516,121.362,121.07,121.765,15981.627,14142.248,17458.297,3601.464,3281.594,4367.984,5290.869,4546.697,5766.322,2063.575,1836.488,2446.721,1921.188,1832.463,2049.08,1753.318,1657.553,1958.228,2296.979,2232.616,2365.479,532.232,528.514,537.495,207.945,205.765,211.182,2329.978,3102.79,5054.53,4669.1630000000005,12359.394,27515.855,0.1941648333333333,0.2585658333333333,0.4212108333333333,0.3890969166666667,1.0299495,2.2929879166666667
05/16/2023,01:35,260.881,259.585,262.696,31.571,30.344,33.597,275.53,121.925,919.206,443.469,439.94,446.069,410.755,409.478,411.394,322.287,173.051,378.961,969.282,952.618,987.754,1010.804,1003.566,1023.873,1368.661,1283.217,1792.538,323.353,350.701,294.0,616.113,414.694,1046.413,3237.795,3200.132,3296.343,1522.894,1451.457,1900.082,16010.598,15979.237,16033.479,3700.367,3698.043,3702.234,121.267,120.934,121.579,14724.948,12807.332,16148.521,3782.757,3346.614,4490.347,4929.089,4515.468,5342.71,2144.681,1973.711,2520.979,1941.334,1821.395,2222.112,1783.97,1526.925,2272.657,2432.213,2344.916,2893.399,531.191,527.402,533.728,204.044,202.494,205.81,2405.562,2950.972,5213.625,4639.955,12193.534,27403.648,0.2004635,0.2459143333333333,0.43446875,0.3866629166666667,1.0161278333333337,2.283637333333333
